cell_budget,source_tissue,mean_relative_regret,max_relative_regret,mean_absolute_regret,max_absolute_regret
100,immune,0.036708860759493665,0.07341772151898733,0.00145,0.0029
100,kidney,0.15683558742056383,0.2548476454293629,0.00485,0.0092
100,lung,0.036708860759493665,0.07341772151898733,0.00145,0.0029
30,immune,0.40815998972778633,0.4886363636363637,0.014400000000000001,0.017200000000000003
30,kidney,0.45337710591947883,0.6186186186186187,0.015400000000000002,0.020600000000000004
30,lung,0.2763999795249796,0.5045045045045046,0.009250000000000001,0.016800000000000002
100,overall,0.0767511029798504,0.2548476454293629,0.0025833333333333333,0.0092
30,overall,0.3793123583907482,0.6186186186186187,0.013016666666666668,0.020600000000000004
