leave_out_source_tissue,mean_relative_regret_30,mean_relative_regret_100,delta_30_minus_100
immune,0.3648885427222292,0.09677222409002872,0.2681163186322005
kidney,0.342279984626383,0.03670886075949365,0.30557112386688934
lung,0.4307685478236326,0.09677222409002872,0.3339963237336039
