tissue,attention,coexpression,coexpression_signed,consensus,grad_input,integrated_gradients,perturbation
immune,0.6854,0.6807,0.6854,0.687,0.98,0.9692,0.9758
kidney,0.6025,0.5559,0.5667,0.6022,0.9916,0.9806,0.9912
lung,0.518,0.1805,0.1819,0.181,0.9888,0.8887,0.9023
