cell_budget,source_tissue,source_best_probe,source_best_score,target_tissue,target_best_probe,target_best_score,transferred_score,absolute_regret,relative_regret
30,immune,grad_input,0.0333,kidney,coexpression_signed,0.0352,0.018,0.017200000000000003,0.4886363636363637
30,immune,grad_input,0.0333,lung,coexpression,0.0354,0.0238,0.0116,0.327683615819209
30,kidney,coexpression_signed,0.0352,immune,grad_input,0.0333,0.0127,0.020600000000000004,0.6186186186186187
30,kidney,coexpression_signed,0.0352,lung,coexpression,0.0354,0.0252,0.0102,0.288135593220339
30,lung,coexpression,0.0354,immune,grad_input,0.0333,0.0165,0.016800000000000002,0.5045045045045046
30,lung,coexpression,0.0354,kidney,coexpression_signed,0.0352,0.0335,0.0017000000000000001,0.048295454545454544
