tissue,spearman_rho_aupr_vs_stability,exact_two_sided_p_value,n_probes
immune,0.03603749850782236,0.9507936507936507,7
kidney,-0.9549937104572925,0.0031746031746031746,7
lung,-0.6785714285714287,0.10952380952380952,7
