sweep_file,delta_p90,delta_p95,improvement_p95_vs_p90
sweep_results_omnipath.json,0.000491910395443,0.0002522281625916,0.00023968223285139996
sweep_results_omnipath_dorothea_intersection_immune_hpn.json,0.0047613255775614,0.0024630878662384,0.002298237711323
sweep_results_omnipath_dorothea_union_immune_hpn.json,0.0003157031228569,0.0,0.0003157031228569
sweep_results_omnipath_dorothea_union_immune_hpn_scaled.json,0.0001942652553067,0.0001038380168033,9.042723850339999e-05
sweep_results_omnipath_dorothea_union_immune_hpn_scaled_1200x420.json,0.0002280265841974,4.495062581854172e-05,0.00018307595837885828
sweep_results_omnipath_intercell_moderate_immune_hpn.json,0.0,0.0,0.0
sweep_results_omnipath_intercell_relaxed_immune_hpn.json,0.0,0.0005954836121198,-0.0005954836121198
sweep_results_omnipath_intercell_strict_immune_hpn.json,0.0,0.0,0.0
sweep_results_omnipath_intercell_union_immune_hpn.json,0.0001437534537994,0.0,0.0001437534537994
sweep_results_omnipath_intercell_union_sources_immune_hpn.json,0.0002447877400922,0.0,0.0002447877400922
sweep_results_omnipath_intercell_union_sources_relaxed_immune_hpn.json,2.8719957866640573e-05,2.2210576804460903e-06,2.6498900186194482e-05
sweep_results_omnipath_intercell_union_targets_immune_hpn.json,0.0002061619963562,0.0,0.0002061619963562
sweep_results_omnipath_relaxed.json,0.0002741132969516,0.0002770978325178,-2.9845355661999875e-06
sweep_results_omnipath_relaxed_immune_hpn.json,0.0002685921639335,4.864081919468688e-05,0.0002199513447388131
