leave_out_target_tissue,mean_relative_regret_30,mean_relative_regret_100,delta_30_minus_100
immune,0.2881877568053416,0.10042077211683437,0.18776698468850722
kidney,0.43473558304066784,0.0784177937102819,0.35631778933038594
lung,0.4150137353262354,0.051414743112434824,0.3635989922138006
