tissue,h5ad_path,n_cells,n_genes,n_donors,donor_dominant_fraction,donor_entropy_norm,donor_effective_n,n_samples,sample_dominant_fraction,sample_entropy_norm,n_batches,batch_dominant_fraction,batch_entropy_norm,n_cell_types,cell_type_entropy_norm,confound_diversity_score
immune,data/raw/tabula_sapiens_immune.h5ad,592317.0,60606.0,24.0,0.2229431199847379,0.7006786517162275,9.270102835943687,574.0,0.02263821568518209,0.8196397612587206,45.0,0.15442406684258597,0.68686081709743,45.0,0.6604001511898759,0.8049396051733186
kidney,data/raw/tabula_sapiens_kidney.h5ad,11376.0,60606.0,1.0,1.0,0.0,1.0,5.0,0.5376230661040787,0.5201658329324589,2.0,0.9690576652601969,0.19909582753323068,13.0,0.3222886384940961,0.26155519079667244
lung,data/raw/tabula_sapiens_lung.h5ad,65847.0,60606.0,4.0,0.3743222925873616,0.9680420989042916,3.8266559551313226,45.0,0.18752562759123423,0.6682914362606792,7.0,0.3605479368839886,0.7752422875901542,34.0,0.7406628313610861,0.7262716370608301
